,Path,Canonical,Transcript
0,THA_Nu_6_S00042_201,a _2 m a _5a d a _4 k O _5a b E _5a l e _1 k O _5a h a _2 l a _2 k wp a _2 k wp i _5a,a _2 m a _5a d a _4 k O _5a b E _5a l e _1 k O _5a h a _2 l a _2 k wp a _2 k wp i _5a
1,MK_7_NAM_S0005_6,b a_X k _5b t_h a N _1 b E _3 o j _3 ts_ i n _5a v a N _2 tS e n _1 k 7_X j _1,b a_X k _5b t_h a N _1 b E _3 o j _3 ts_ i n _5a v a N _2 tS e n _1 k 7_X j _1
2,TPA_Nu_6_S0009_109,b a _1 k o _1 a j _1 k u Nm _4 d E p _6b J M _1 tS a_X N _1 r a_X m _2,b a _1 k o _1 a j _1 k u Nm _4 d E p _6b J M _1 tS a_X N _1 r a_X m _2
3,NHM_7_NU_S0006_63,z O_X Nm _2 k M w _3 l O_X Nm _1 d a _4 n O _1 d 7_X j _2 l a j _6a tS a n _2 k wp a _1 b 7 _2 tS a n _2 k wp a _1 k a _3 m a_X t _6b d M7 N _2,z O_X Nm _2 k M w _3 l O_X Nm _1 d a _4 n O _1 d 7_X j _2 l a j _6a tS a n _2 k wp a _1 b 7 _2 tS a n _2 k wp a _1 k a _3 m a_X t _6b d M7 N _2
4,THA_Nu_6_S00042_109,x i _1 N i _1 n O j _5a d e n _5a S M _1 t M _3 ts_ O _5a s u _2 J M _1 t_h e _5a n a w _2,x i _1 N i _1 n O j _5a d e n _5a S M _1 t M _3 ts_ O _5a s u _2 J M _1 t_h e _5a n a w _2
5,GQM_Nam_6_S0006_65,t 7 _5a d a _4 J i n _2 t_h 7_X j _5a k a _5a h E w _1 v a _2 k a _5a v a _2 k uo _1,t 7 _5a d a _4 J i n _2 t_h 7_X j _5a k a _5a h E w _1 v a _2 k a _5a v a _2 k uo _1
6,ĐNK_7_NU_S0048_103,l a j _6a f a t _5b r a _1 J M N _4 t ie N _5a v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 n e n _2 tS 7 j _2 s E_X J _1 t_h a_X m _5a,l a j _6a f a t _5b r a _1 J M N _4 t ie N _5a v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 n e n _2 tS 7 j _2 s E_X J _1 t_h a_X m _5a
7,NDBA_7_NAM_S0010_146,N M7 j _2 t_h i _2 l e n _1 r M N _2 r M N _2 d o kp _5b t_h u kp _5b b o _6a h a _6a S a_X n _1 t_h u _5a l a _6a b a_X t _5b ts_ i m _1 k wp i _5a,N M7 j _2 t_h i _2 l e n _1 r M N _2 r M N _2 d o kp _5b t_h u kp _5b b o _6a h a _6a s a_X n _1 t_h u _5a l a _6a b a_X t _5b ts_ i m _1 k wp i _5a
8,TTT_Nu_6_S00049_33,t i m _2 t ie N _5a k O _5a v 7_X n _2 7_X m _1 J E _5a,t i m _2 t ie N _5a k O _5a v 7_X n _2 7_X m _1 J E _5a
9,TPA_Nu_6_S0009_156,b 7_X j _1 dZ 7 _2 t 7 _5a d O_X kp _6b l a j _6a J E _5a,b 7_X j _1 dZ 7 _2 t 7 _5a d O_X kp _6b l a j _6a J E _5a
