,Path,Canonical,Transcript,Predict
0,110325,sh e 4 h ui 4 g uo 2 j ia 1 sh i 4 sh i 2 k e 4 b ian 4 q ian 1 d e 5,sh e 4 h ui 4 g uo 2 j ia 1 sh i 4 sh i 4 sh i 2 k e 4 b ian 4 q ian 1 d e 5,sh u 4 h u zh 4 sh i sh i 4 sh i h k 4 b q k d 5
1,110326,s uo 3 y i 3 b u 4 n eng 2 zh i 3 d ing 4 n a 4 y i 4 zh ong 3 f ang 1 f a 3 sh i 4 j iu 4 sh i 4 d e 5 l iang 2 y ao 4,s uo 3 y i 3 b u 4 n eng 2 zh i 3 d ing 4 n a 4 y i 4 zh ong 3 f ang 1 f a 3 sh i 4 j iu 4 sh i 4 d e 5 l iang 2 y ao 4,s v b u 4 zh i 4 4 zh f 4 f 4 sh ch 4 sh 4 4 4
2,110327,sh i 2 n ian 2 q ian 2 y ong 4 b u 3 y ao 4 sh i 2 n ian 2 h ou 4 h uo 4 zh e 3 x v 1 y ong 4 x ie 4 y ao 4 l e 5,sh i 2 n ian 2 q ian 2 y ong 4 b u 3 y ao 4 sh i 2 n ian 2 h ou 4 h uo 4 zh e 3 x v 1 x ie 4 y v 4 y ao 4 l e 5,sh i zh ong 2 4 b 4 sh i 4 h uo 4 zh i 4 sh i x 4 y 4 5
3,110328,sh i 2 n ian 2 q ian 2 y ong 4 l iang 2 y ao 4 sh i 2 n ian 2 h ou 4 h uo 4 zh e 3 x v 1 y ong 4 r e 4 y ao 4 l e 5,sh i 2 n ian 2 q ian 2 y ong 4 l iang 2 y ao 4 sh i 2 n ian 2 h ou 4 h uo 4 zh e 3 x v 1 y ong 4 r e 4 y ao 4 l e 5,sh i r 4 q 4 br 4 l 4 sh 4 h 4 r 4 zh i 4 sh 4 r 4 r 4 5
4,110329,k uang 4 q ie 3 g e 4 d i 4 d e 5 sh e 4 h ui 4 g uo 2 j ia 1 d u 1 b u 4 x iang 1 t ong 2,k uang 4 q ie 3 g e 4 d i 4 d e 5 sh e 4 h ui 4 g uo 2 j ia 1 d ou 1 d ou 1 b u 4 x iang 1 t ong 2,4 4 g j i d 4 sh 4 u 4 g u 4 zh 4 zh u 4 d 4 u sh 4 2
5,110330,sh i 4 y ong 4 y v 2 r i 4 b en 3 d e 5 y ao 4 w ei 4 b i 4 w an 2 q van 2 sh i 4 y ong 4 y v 2 zh ong 1 g uo 2,sh i 4 y ong 4 y v 2 r i 4 b en 3 d e 5 y ao 4 w ei 4 b i 4 w an 2 q van 2 sh i 4 y ong 4 y v 2 zh ong 1 y ao 4 y v 2 zh ong 1 g uo 2,sh i 4 v 4 b 4 d 4 w 4 b 4 w i 4 sh i 4 v 4 v 4 zh 4 b v 4 zh ong 4 4
6,110331,sh i 4 y ong 4 y v 2 d e 2 g uo 2 d e 5 y ao 4 w ei 4 b i 4 sh i 4 y ong 4 y v 2 m ei 3 g uo 2,sh i 4 y ong 4 y v 2 d e 2 g uo 2 d e 5 y ao 4 w ei 4 b i 4 sh i 4 y ong 4 y v 2 m ei 3 g uo 2,sh i h y v 4 d 4 u 4 d y 4 w ei p i sh i 4 v m 4 g 4
7,110332,zh i 3 y ou 3 k ang 1 y ou 3 w ei 2 n a 4 zh ong 3 sh eng 4 r en 2,zh i 3 y ou 3 k ang 1 y ou 3 w ei 2 n a 4 zh ong 3 sh eng 4 r en 2,zh iv k ang ou r ei 4 sh eng 4
8,110333,h uan 2 x iang 3 y ong 4 t a 1 m en 5 d e 5 w u 4 x v 1 zh eng 4 c e 4 l ai 2 j iu 4 w u 4 w u 3 d e 5 zh ong 1 g uo 2,h uan 4 x iang 3 y ong 4 t a 1 m en 5 d e 5 w u 4 x v 4 sh eng 1 s i 3 l ai 2 j iu 4 w u 4 w u 4 d e 5 zh ong 1 g uo 2,h 4 sh 4 t m d u 3 sh v sh e 4 j i 4 u d e zh 4 g 2
9,110334,zh i 3 y ou 3 g u 1 h ong 2 m ing 2 n a 4 b an 1 g uai 4 w u 5,zh i 3 y ou 3 g u 1 h ong 2 m ing 2 n a 4 b an 1 g uai 4 w u 4,q i y 4 g u h 2 l 4 y 4 b u 5
10,110335,y i 4 b u 3 sh eng 1 sh i 4 c ong 1 m ing 2 r en 2,y i 4 b u 3 sh eng 1 sh i 4 c ong 1 m ing 2 r en 2,v b u sh sh sh 2
11,110336,t a 1 zh i 1 d ao 4 sh i 4 sh ang 4 m ei 2 y ou 3 b ao 1 y i 1 b ai 3 b ing 4 d e 5 x ian 1 f ang 1,t a 1 zh i 1 d ao 4 sh i 4 sh ang 4 m ei 2 y ou 3 b ao 1 y i 1 b ai 3 m ing 4 d e 5 x iang 1 f ang 1,t 1 t 4 ch i zh 4 b 4 v b 4 4 4 t 4 f 1
12,110337,y e 3 m ei 2 y ou 3 sh i 1 zh u 3 s i 4 h ai 3 er 2 j ie 1 zh un 3 t ui 1 zh i 1 b ai 3 sh i 4 er 2 b u 4 b ei 4 d e 5 zh en 1 l i 3,y e 3 m ei 2 y ou 3 sh i 1 zh u 3 s i 4 h ai 3 er 2 j ie 1 zh un 3 t ui 1 zh i 1 b ai 3 sh i 4 er 2 b u 4 b ei 4 d e 5 zh en 1 l i 3,y 3 3 sh i 4 zh i 3 s i 4 h j i 4 zh zh 3 q i 3 b 4 sh i g b u 4 g ei 4 d e 5 zh l 3
13,110338,y in 1 c i 3 t a 1 d ui 4 y v 2 sh e 4 h ui 4 d e 5 zh ong 3 zh ong 3 z ui 4 e 4 w u 1 h ui 4 zh i 3 k ai 1 m ai 4 an 4,y in 1 c i 3 t a 1 d ui 4 y v 2 sh e 4 h ui 4 d e 5 zh ong 3 zh ong 3 zh ong 3 z ui 4 er 4 z ui 4 e 4 w u 1 h ui 4 zh i 3 k ai 1 m ai 4 an 4,4 s i 4 t 4 d v 4 sh i 4 h 4 d 4 zh 4 zh 2 zh 4 ui 4 4 zh 4 4 ui 4 zh i 4 k ai m 4 4
14,110339,zh i 3 sh uo 1 b ing 4 zh uang 4 q ve 4 b u 4 k en 3 x ia 4 y ao 4,zh i 3 sh uo 1 b ing 4 zh uang 4 q v 4 b u 4 k en 3 x iang 4 y ao 4,zh i 4 sh b zh 4 u 4 k e sh 4
