,Path,Canonical,Transcript,Predict
0,PC_7_NAM_S0004_96,t 7 _5a r 7_X t _5b t_h i k _5b v e _2 k wp e _1,t 7 _5a z 7_X t _5b t_h i k _5b v e _2 k wp e _1,t 7 _5a 7_X t _5b t_h i k _5b v e _2 k wp e _1
1,NMA_7_NU_S0002_274,k uo k _6b t_h i _1 d M7 k _6b t o _3 ts_ M k _5b t M _2 n a_X m _1 h a j _1 h a j _1 N i n _2 l i J _1 t a m _5a m o j _4 n a_X m _1 m o t _6b l 7_X n _2,k uo k _6b t_h i _1 d M7 k _6b t o _3 ts_ M k _5b t M _2 l a_X m _1 h a j _1 h a j _1 N i n _2 l i J _1 t a m _5a m o j _4 l a_X m _1 m o t _6b l 7_X n _2,k uo k _6b t_h i _1 d M7 k _6b t o _3 ts_ M k _5b t M N _2 h o j _2 a m _2 h wp a_X j _1 h a j _1 N i n _2 l 7_X J _1 t a m _1 m o j _4 l a_X m _1 b o t _6b l 7_X n _2
2,CNBA_Nu_6_S0003_130,S a_X w _1 d O _5a n O _5a G a_X p _6b J M N _4 k O n _1 dZ i _2,s a_X w _1 d O _5a l O _5a G a_X p _6b J M N _4 k O n _1 dZ i _2,S a_X w _1 d O _5a l O _5a G a_X p _6b J M N _4 k O n _1 dZ i _2
3,LXT_Nam_6_S0008_70,S O j _5a v a _2 z e _1,s O j _5a v a _2 z e _1,S O j _5a v a _3 dZ e _1
4,ĐNK_7_NU_S0048_76,v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 tS 7 j _2 s E_X J _1 t_h a_X m _3,v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 tS 7 j _2 s E_X J _1 t_h a m _3,v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 tS 7 j _2 s E_X J _1 t_h a m _3
5,CNBA_Nu_6_S0003_173,b a _1 k a _5a m 7_X p _6b ts_ a_X N _3 t i m _2 r a _1 k a _5a m a_X N _1,b a _1 k a _5a m 7_X p _6b ts_ a_X N _3 t i m _2 z a _1 k a _5a m a_X N _1,b a _5a k a _5a m 7_X p _6b ts_ a_X N _3 t i m _2 r a _1 k a _5a m a_X N _3
6,PC_7_NAM_S0004_82,v i _2 7 _3 d 7_X j _5a k O _5a r 7_X t _5b J ie w _2 k E_X J _3 d E p _6b,v i _2 7 _3 d 7_X j _5a k O _5a z 7_X t _5b J ie w _2 k E_X J _3 d E p _6b,dZ i _2 7 _5a 7_X _5a k O _5a r 7_X t _5b J ie w _2 k E_X J _6a b E _6b
7,ĐNK_7_NU_S0048_81,k o _5a r M7 n _5a k a_X p _6b m O _3 t_h E_X J _1 m E_X J _3,k o _5a r M7 n _5a k a_X p _6b m O _3 t_h E_X J _1 t_h a m _3,k o _5a r M7 n _5a k a_X p _6b m O _3 t_h a_X m _1 t_h a _3
8,HYT_Nu_6_S0005_1,S a_X w _1 d 7_X j _1 t 7 _5a S E _4 d O_X kp _6b b a j _2 ts_ uo t _6b u t _5b,S a_X w _1 d 7_X j _1 t 7 _5a s E _4 d O_X kp _6b b a j _2 ts_ uo t _6b u t _5b,S O_X w _1 d 7_X j _1 t 7 _5a S E d O_X kp _6b b a j _2 ts_ uo t _6b u t _5b
9,NMA_7_NU_S0002_40,l O_X Nm _2 S uo j _5a J ie w _2 d a _5a S a_X k _5b,l O_X Nm _2 s uo j _5a J ie w _2 d a _5a s a_X t _5b,l O_X Nm _2 S uo j _5a J ie w _2 d a _5a S a_X t _5b
